Icterus croconotus
Monasa atra
Strix albitarsis
Cichlocolaptes leucophrus
Chaetura cinereiventris
Poospiza cabanisi
Conirostrum speciosum
Turdus fulviventris
Biatas nigropectus
Corythopis delalandi
Clytoctantes alixii
Gymnopithys salvini
Formicivora serrana
Hypocnemis flavescens
Thamnophilus aethiops
Nyctidromus albicollis
Euphonia pectoralis
Arremonops conirostris
Schistocichla schistacea
Euscarthmus meloryphus
Asio stygius
Xiphorhynchus pardalotus
Lepidothrix serena
Myiophobus flavicans
Myrmoborus leucophrys
Vireolanius leucotis
Myrmeciza fortis
Penelope argyrotis
Tiaris obscurus
Herpsilochmus dorsimaculatus
Diglossa glauca
Buteo brachyurus
Chroicocephalus serranus
Manacus manacus
Tyrannulus elatus
Penelope marail
Perissocephalus tricolor
Hylopezus nattereri
Attila citriniventris
Colaptes rubiginosus
Lepidocolaptes angustirostris
Procnias albus
Conopophaga lineata
Trogon melanurus
Cantorchilus nigricapillus
Todirostrum nigriceps
Hypopyrrhus pyrohypogaster
Poecilotriccus latirostris
Monasa flavirostris
Turdus flavipes
Thamnophilus melanonotus
Ampelion rubrocristatus
Veniliornis kirkii
Eupsittula aurea
Ochthornis littoralis
Cariama cristata
Scytalopus stilesi
Neochelidon tibialis
Euphonia xanthogaster
Troglodytes solstitialis
Columbina talpacoti
Tangara cyanocephala
Terenotriccus erythrurus
Galbula cyanescens
Scytalopus femoralis
Atlapetes albinucha
Dixiphia erythrocephala
Athene cunicularia
Numenius phaeopus
Aratinga auricapillus
Thamnophilus pelzelni
Helicolestes hamatus
Coragyps atratus
Sicalis citrina
Patagioenas cayennensis
Myiarchus cephalotes
Poospiza lateralis
Tolmomyias viridiceps
Ara severus
Cyanerpes nitidus
Tangara vitriolina
Habia gutturalis
Thinocorus orbignyianus
Neopelma chrysolophum
Dendrocincla turdina
Anas andium
Icterus pyrrhopterus
Phyllomyias fasciatus
Coryphospingus pileatus
Tangara cayana
Syndactyla rufosuperciliata
Margarornis stellatus
Pyrilia caica
Sakesphorus luctuosus
Tangara arthus
Turdus nudigenis
Pardirallus sanguinolentus
Leucippus chlorocercus
Philydor pyrrhodes
Icterus icterus
Formicivora intermedia
Xiphocolaptes albicollis
Picumnus cirratus
Euphonia chrysopasta
Euphonia finschi
Megaxenops parnaguae
Icterus cayanensis
Grallaria rufocinerea
Attila bolivianus
Synallaxis gujanensis
Momotus momota
Odontophorus speciosus
Chiroxiphia lanceolata
Dendrocolaptes platyrostris
Pachyramphus albogriseus
Capito hypoleucus
Turdus rufiventris
Dixiphia pipra
Paroaria gularis
Cyanerpes cyaneus
Schistochlamys melanopis
Megascops napensis
Hemithraupis guira
Catharus dryas
Cochlearius cochlearius
Melanopareia torquata
Troglodytes aedon
Chondrohierax uncinatus
Microrhopias quixensis
Herpetotheres cachinnans
Schiffornis turdina
Furnarius figulus
Conirostrum margaritae
Pheugopedius spadix
Spinus spinescens
Pulsatrix melanota
Charadrius collaris
Malacoptila fulvogularis
Cyphorhinus thoracicus
Phyllomyias griseiceps
Gymnopithys leucaspis
Leptopogon amaurocephalus
Chamaeza mollissima
Cranioleuca gutturata
Pseudoscops clamator
Conirostrum albifrons
Ortalis columbiana
Turdus serranus
Micrastur gilvicollis
Clytolaema rubricauda
Tachornis squamata
Catamenia analis
Orthogonys chloricterus
Notharchus ordii
Phleocryptes melanops
Diglossa sittoides
Rostrhamus sociabilis
Ramphocaenus melanurus
Conopophaga melanops
Hylophilus muscicapinus
Crypturellus noctivagus
Thamnophilus sticturus
Bangsia aureocincta
Piculus flavigula
Cyanocorax cayanus
Philydor novaesi
Patagona gigas
Turdus amaurochalinus
Henicorhina leucosticta
Aulacorhynchus sulcatus
Grallaria guatimalensis
Pheugopedius genibarbis
Chloroceryle americana
Zimmerius gracilipes
Dendrocygna autumnalis
Pyrilia barrabandi
Amazona kawalli
Porzana albicollis
Ortalis ruficauda
Cyphorhinus arada
Crypturellus cinereus
Myrmeciza exsul
Crypturellus variegatus
Cercomacra fuscicauda
Contopus nigrescens
Zonotrichia capensis
Agelaioides badius
Automolus ochrolaemus
Terenura spodioptila
Pyriglena atra
Tigrisoma lineatum
Galbalcyrhynchus purusianus
Epinecrophylla amazonica
Saltator fuliginosus
Ara ararauna
Myiopagis viridicata
Herpsilochmus pileatus
Florisuga mellivora
Myrmeciza palliata
Phylloscartes oustaleti
Pyroderus scutatus
Pharomachrus auriceps
Serpophaga subcristata
Chamaeza meruloides
Cacicus haemorrhous
Myiothlypis luteoviridis
Forpus modestus
Sporophila plumbea
Casiornis rufus
Cranioleuca curtata
Patagioenas speciosa
Myiarchus tuberculifer
Aramides cajaneus
Amaurolimnas concolor
Cranioleuca vulpina
Galbula galbula
Pachyramphus polychopterus
Phoenicircus nigricollis
Leptopogon superciliaris
Baryphthengus martii
Selenidera gouldii
Ortalis canicollis
Columbina squammata
Habia cristata
Hylophilus ochraceiceps
Ramphocelus bresilius
Herpsilochmus sticturus
Euphonia laniirostris
Compsothraupis loricata
Passer domesticus
Elaenia parvirostris
Pyrilia pyrilia
Myrmotherula menetriesii
Sclateria naevia
Phyllomyias burmeisteri
Grallaria haplonota
Pheugopedius rutilus
Catharus aurantiirostris
Automolus paraensis
Topaza pyra
Thamnomanes saturninus
Haplospiza rustica
Dubusia taeniata
Spinus olivacea
